             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              ITER01                   1       35.9773947474       631175284.158       4491.28240197       858.260734462        4507.3213284       10.8184970442       44.7792139422       53.0342345953      -18.5945860959     -0.722613618028  2020-01-01T18:26:54.973               35547                 0.2      -7.31553050078        88.461493283      -7.04930183201
              ITER01                   1       35.8466976167       631175284.191       4491.03504677       858.309563237       4507.17252538       10.8196798354       44.7797409819       52.7634691847      -52.6278619176       -2.0490401195  2020-01-01T18:26:55.007               28364                 0.7      -7.07200614805       88.2956330509      -6.80170227133
              ITER01                   1       35.5844639848       631175284.225       4490.59167588       858.397086189         4506.905804       10.8218002277       44.7806857527        52.278141586       -20.886807588     -0.815949582774  2020-01-01T18:26:55.040               17762                 1.2      -6.56700041868       87.9999927397      -6.28941360028
              ITER01                   1       35.2904934547       631175284.258       4490.10386694       858.493381369       4506.61234973       10.8241335914       44.7817253352       51.7441778476       25.4816118946      0.999111907817  2020-01-01T18:26:55.074               37480                 0.3       -7.3814106528       87.6771981389      -7.09584396684
              ITER01                   1        35.107659524       631175284.291        4489.7814027       858.557036927       4506.41836291       10.8256763109       44.7824126159       51.3912072841       11.4626473957       0.45052952385  2020-01-01T18:26:55.107               32788                 0.2      -7.23850305961       87.4652543761      -6.94768087732
              ITER01                   1       34.9187719832       631175284.325       4489.45004664       858.622447764       4506.21902699       10.8272617846        44.783118905        51.028507106      -3.06396968282     -0.120725645212  2020-01-01T18:26:55.140               34613                 0.6      -7.29972679254       87.2486692524      -7.00352085088
              ITER01                   1       34.7164364867       631175284.358       4489.11170552       858.689237477         4506.015489       10.8288809046       44.7838401425       50.6581646866       11.3943568778      0.450091466654  2020-01-01T18:26:55.174               42433                 0.1      -7.52351026543       87.0287859242       -7.2218248906
              ITER01                   1       34.5208942409       631175284.392       4488.77676083       858.755356722       4505.81399424       10.8304839943       44.7845541991       50.2915435036       5.20298261988      0.206036703032  2020-01-01T18:26:55.207               44972                 0.1      -7.58917824326       86.8123808471      -7.28208657825
              ITER01                   1       34.3163808763       631175284.425       4488.43530716       858.822760861       4505.60858383       10.8321184655       44.7852821927       49.9178014131       13.0565587434      0.518345602218  2020-01-01T18:26:55.241               46757                 0.1      -7.63416954742       86.5930818662      -7.32158553018
              ITER01                   1       34.1427684811       631175284.458       4488.13500558       858.882041434       4505.42792954       10.8335561405        44.785922499       49.5891058666      -5.20502817838     -0.207098338839  2020-01-01T18:26:55.274               40990                 0.4      -7.49359852388       86.4013151669      -7.17620028983
              ITER01                   1       33.8847708719       631175284.492       4487.71740295       858.964477645       4505.17670972       10.8355556839       44.7868129947       49.1320229885       22.2609399525      0.888445572043  2020-01-01T18:26:55.307               32486                 0.6      -7.24469512045       86.1363705333      -6.92062796173
              ITER01                   1       33.6843671694       631175284.525       4487.38501167       859.030092836       4504.97675103       10.8371474695       44.7875218512       48.7682113073       22.5364163747      0.901632236505  2020-01-01T18:26:55.341               36622                 0.9      -7.37761624907       85.9269357782        -7.048262873
              ITER01                   1       33.4947509766       631175284.558       4487.06666747       859.092935088       4504.78524272       10.8386721905       44.7882008056       48.4197778023       11.1405401176      0.446744944195  2020-01-01T18:26:55.374               33857                 0.2      -7.29507772297       85.7275647667      -6.96068015821
              ITER01                   1       33.3256637869       631175284.592       4486.77683249       859.150149517       4504.61088489       10.8400605401       44.7888190027       48.1025509537      -14.6604474858     -0.589136441554  2020-01-01T18:26:55.407               28931                 0.4      -7.12680218544       85.5470875466      -6.78782832824
              ITER01                   1        33.121405323       631175284.625       4486.43865325       859.216907273        4504.4074443       10.8416806759       44.7895403706       47.7324142452      -24.0346861389     -0.968213375057  2020-01-01T18:26:55.441               32352                 0.1      -7.25113326009       85.3377675482      -6.90683964733
              ITER01                   1       32.8632098955       631175284.659       4486.03567931       859.296455729       4504.16502475       10.8436115237       44.7904000301       47.2913645298       11.4198273446      0.461375199799  2020-01-01T18:26:55.474               47916                 0.4      -7.68142614986       85.0901282675      -7.33082204149
              ITER01                   1       32.6601940748       631175284.692       4485.70795376        859.36114989       4503.96787285       10.8451820566       44.7910992261       46.9326769868       11.7782386347      0.476976310099  2020-01-01T18:26:55.508               51761                 0.1      -7.76830943891       84.8901745523      -7.41259657184
              ITER01                   1       32.4608165267       631175284.725       4485.38392922       859.425113459       4503.77294739       10.8467350628       44.7917905817       46.5780434362       3.79478972028      0.154031724578  2020-01-01T18:26:55.541               48493                   0      -7.70057185998       84.6937613371      -7.33982896378
              ITER01                   1       32.2322010355       631175284.759       4485.02389015        859.49618642       4503.55635645       10.8484609261       44.7925588445       46.1839971307       15.4347452564      0.628108616957  2020-01-01T18:26:55.574               58278                 0.2      -7.90371834342       84.4770237444       -7.5374113664
              ITER01                   1       31.9854083776       631175284.792       4484.64272818       859.571429117       4503.32705846       10.8502883233       44.7933722545       45.7668372339       39.5580027921       1.61414269826  2020-01-01T18:26:55.608               54608                 0.7      -7.83703944198       84.2493117206      -7.46487124981
              ITER01                   1       31.7611093816       631175284.826       4484.29919372       859.639244012        4503.1203963       10.8519355706       44.7941054318       45.3908624211       63.5543981196       2.59958789001  2020-01-01T18:26:55.641               65039                 0.3      -8.03048521596       84.0456251592      -7.65306077577
              ITER01                   1       31.6084096262       631175284.859        4484.0365322       859.691094309       4502.96238537       10.8531951903       44.7946660505       45.1033999795       13.4119016449      0.549603477012  2020-01-01T18:26:55.674               42076                   0      -7.56016136716       83.8908851336      -7.17873525049
              ITER01                   1       31.3480953376       631175284.892       4483.63885779       859.769596618       4502.72315389       10.8551025386       44.7955149068       44.6681806775       34.8320083909       1.43134264375  2020-01-01T18:26:55.708               46878                 0.3      -7.68187572878       83.6582597942      -7.29441986088
              ITER01                   1       31.1134905977       631175284.926       4483.27517626       859.841388613       4502.50437173       10.8568471231       44.7962912765       44.2701679429       37.5596950552       1.54733312321  2020-01-01T18:26:55.741               59364                 0.2      -7.94228821661       83.4472755289      -7.54934902641
              ITER01                   1        30.954901384       631175284.959       4483.02496141       859.890781894       4502.35384843       10.8580475592       44.7968254634       43.9963354587       26.9298509822       1.11133937128  2020-01-01T18:26:55.775               57629                 0.3      -7.91285054721       83.3030984786      -7.51615632418
              ITER01                   1       30.7429747844       631175284.993       4482.68802429       859.957294451       4502.15115506       10.8596642524        44.797544847       43.6275981727         3.524187274      0.145773443814  2020-01-01T18:26:55.808               47976                 0.5      -7.71756446483       83.1102230608      -7.31583670443
              ITER01                   1       30.5202837549       631175285.026       4482.34715612       860.024583012       4501.94609687       10.8613000372       44.7982726844       43.2545624699       4.85810052279      0.201418303625  2020-01-01T18:26:55.842               57976                 0.4       -7.9271458956       82.9165925461      -7.52035312798
              ITER01                   1       30.3020787698       631175285.059       4482.02104865       860.088957758       4501.74991837       10.8628652032       44.7989690613       42.8976838724       20.4221814826      0.848591139202  2020-01-01T18:26:55.875               59655                 0.2      -7.96215741413       82.7327641543      -7.55054508725
              ITER01                   1       30.0360164932       631175285.093       4481.61985305       860.168155161       4501.50856864       10.8647910477       44.7998258599       42.4586365348       26.2206468047       1.09249256553  2020-01-01T18:26:55.908               37103                 0.5      -7.45156206522       82.5085234229      -7.03405614035
              ITER01                   1       29.7851337375       631175285.126       4481.25047179       860.241072305       4501.28635765       10.8665644579       44.8006147904       42.0544096299       47.3705721282       1.97861784908  2020-01-01T18:26:55.942               56755                 0.2      -7.91787139329       82.3039468752      -7.49497470453
              ITER01                   1       29.5737719683       631175285.159       4480.93901856       860.302554254       4501.09899479       10.8680599648       44.8012800531       41.7135787613       60.9554831108       2.55134862336  2020-01-01T18:26:55.975               64564                 0.1      -8.06198278696        82.132865347      -7.63456765799
              ITER01                   1         29.36671453       631175285.193       4480.62074107       860.365383334       4500.90752662        10.869588439       44.8019599451       41.3652831185       40.1593485859       1.68446477788  2020-01-01T18:26:56.008               53683                 0.4      -7.86573617734        81.959379207      -7.43372947845
              ITER01                   1        29.143037216       631175285.226       4480.29053254       860.430567645       4500.70888101       10.8711744231       44.8026653802       41.0039345448        45.898751261       1.92940447777  2020-01-01T18:26:56.042               57033                 0.5      -7.93601665769         81.78083476      -7.49927435373
              ITER01                   1       28.9247342631        631175285.26       4479.96354235       860.495116643       4500.51217149       10.8727451633       44.8033639965       40.6461112224        36.746348346       1.54799209103  2020-01-01T18:26:56.075               53352                 0.3      -7.86811518949        81.605490043      -7.42671207487
              ITER01                   1       28.7142213402       631175285.293       4479.65029919       860.556951932       4500.32373184       10.8742500674        44.804033295       40.3033343554       29.4151090971       1.24168816168  2020-01-01T18:26:56.109               58198                 0.1      -7.96697058231       81.4388878201       -7.5211297525
              ITER01                   1       28.4969909441       631175285.326       4479.32204842       860.621749772       4500.12626399       10.8758272816       44.8047347153       39.9441382517       6.38214428239      0.269980839515  2020-01-01T18:26:56.142               47539                 0.1      -7.75202169082       81.2657520606      -7.30155948492
              ITER01                   1       28.2726894201        631175285.36       4478.99564427       860.686183085       4499.92990701       10.8773958357        44.805432246       39.5869662314       8.84022945348      0.374751149067  2020-01-01T18:26:56.175               57263                 0.1      -7.95903159736       81.0950693893      -7.50400384609
              ITER01                   1       28.0632968175       631175285.393       4478.69051215       860.746417224       4499.74634678       10.8788623576       44.8060843688        39.253074468       6.85984971584      0.291368216027  2020-01-01T18:26:56.209               55536                 0.4      -7.93049879653       80.9368523957      -7.47123035069
              ITER01                   1       27.8294349132       631175285.427       4478.35384037       860.812877404       4499.54381303       10.8804806803       44.8068039545        38.884673748       10.9016748281      0.464034626183  2020-01-01T18:26:56.242               59366                 0.1      -8.00828589278       80.7637957672      -7.54436950222
              ITER01                   1       27.6204470877        631175285.46       4478.04910295       860.873033627       4499.36049025       10.8819456946       44.8074553368       38.5512200846       1.86158433204      0.079391788359  2020-01-01T18:26:56.276               56458                 0.3      -7.95866529512       80.6085321922      -7.49057036071
              ITER01                   1       27.3881058771       631175285.493        4477.7208664       860.937828661       4499.16303094       10.8835238871       44.8081570038       38.1920561918       13.9297370538      0.595291652666  2020-01-01T18:26:56.309               57002                 0.1      -7.97465366009       80.4427696546      -7.50208873507
              ITER01                   1       27.1220558821       631175285.527       4477.34585693       861.011856834       4498.93743416        10.885327231       44.8089587261       37.7817164797       25.4029624848       1.08813985312  2020-01-01T18:26:56.342               52452                 0.5      -7.89087741126       80.2552690035      -7.41324518512
              ITER01                   1       26.8845512818        631175285.56       4477.01306478       861.077551159       4498.73723431       10.8869277952       44.8096702552       37.4175751868        36.568015176       1.56961788156  2020-01-01T18:26:56.376               55808                 0.4      -7.96420276937       80.0905689629      -7.48210966387
